year,rate,lower,upper,log_se_from_ui_sensitivity_only
1990,24.55491470791,20.8947144376,29.32199115684,0.08643917261833806
1991,24.57064849948,20.90288223507,29.32059232932,0.0863273019376019
1992,24.57674259107,20.90140105085,29.3146841803,0.08629397050876211
1993,24.5745057863,20.88507583531,29.30772379631,0.08643272016506126
1994,24.56525129962,20.86398307708,29.30372404507,0.08665567189363982
1995,24.5502205833,20.83993127656,29.30494983055,0.08696059151563566
1996,24.51127474884,20.81270394345,29.25218370374,0.0868343522071398
1997,24.44335744325,20.75306484622,29.17722907249,0.08691189784822463
1998,24.36761003934,20.68668527582,29.09757395539,0.0870317682518841
1999,24.30546284253,20.63501592923,29.03620801064,0.0871311653388395
2000,24.27826772799,20.63372259419,29.01526120501,0.08696305702532493
2001,24.301103005,20.65834329633,29.05933214958,0.08704602157493609
2002,24.35903530441,20.73413425538,29.16951362654,0.0870772372380314
2003,24.428978171580003,20.82084540844,29.2891568478,0.08705681278568364
2004,24.487764940730003,20.89483464864,29.38952233289,0.08702455233748238
2005,24.51236718794,20.93400114552,29.44861673404,0.08705924817846099
2006,24.49787634634,20.89100434304,29.40244097269,0.08718342986549692
2007,24.45957448828,20.82442083628,29.32687327822,0.08734129992889902
2008,24.40713108763,20.74379885443,29.227937806030003,0.08746879449325391
2009,24.34940652377,20.65920460128,29.11341784009,0.08750974453342257
2010,24.29526361694,20.58046688874,28.99496309165,0.08744380401278966
2011,24.15137303936,20.4843881696,28.73277412637,0.08632025090293736
2012,23.87530057106,20.29241881247,28.30521609131,0.0848976385369034
2013,23.55289862653,20.06532810031,27.81914893969,0.08334980584143804
2014,23.26990842344,19.86759055135,27.39874754097,0.08199171264826961
2015,23.11180606192,19.76687810005,27.176168036790003,0.08120732152514917
2016,23.04879355567,19.74428117195,27.12941195513,0.08105983746312231
2017,22.994702339,19.72788868034,27.09191603882,0.08091889758990875
2018,22.95014004778,19.71389458445,27.058564697700003,0.0807856846621219
2019,22.91579227656,19.68007064559,27.03428048405,0.08099470074190056
2020,22.89220103631,19.62901810274,27.02907444101,0.08160819668013909
2021,22.88202141896,19.6421482191,27.03694976899,0.08151192950882194
2022,22.88766539089,19.59569713865,27.08053516496,0.08252683720025822
2023,23.03579326505,19.64945729368,27.07250696422,0.08175229348777117
