location_name,sex_name,measure_name,age_name,age_midpoint,period,period_midpoint,cohort_midpoint,events,population,rate,window,age_coverage,age_index,period_index,cohort_index,cohort_level,fitted_rate
China,Female,DALYs,35-39 years,37.0,2004-2008,2006.0,1969.0,977070.8572731544,307166596.4732847,318.0915075048316,primary_1994_2023,10-14 to 65-69,5,2,-3,8,317.12814829351555
China,Female,DALYs,35-39 years,37.0,2009-2013,2011.0,1974.0,882151.7331767143,277394763.72455376,318.0131165174659,primary_1994_2023,10-14 to 65-69,5,3,-2,9,317.47627493381344
China,Female,DALYs,35-39 years,37.0,2014-2018,2016.0,1979.0,743528.6690869441,232173910.55011278,320.2464339448078,primary_1994_2023,10-14 to 65-69,5,4,-1,10,319.4974913702866
China,Female,DALYs,35-39 years,37.0,2019-2023,2021.0,1984.0,828582.8777421697,258604707.3790096,320.40517983603576,primary_1994_2023,10-14 to 65-69,5,5,0,11,321.9234540128804
China,Female,DALYs,40-44 years,42.0,1994-1998,1996.0,1954.0,698891.1776952283,216168736.6214835,323.3081659347452,primary_1994_2023,10-14 to 65-69,6,0,-6,5,324.0082704435574
China,Female,DALYs,40-44 years,42.0,1999-2003,2001.0,1959.0,659595.5792710241,202613906.72692266,325.5430932290391,primary_1994_2023,10-14 to 65-69,6,1,-5,6,325.839302934076
China,Female,DALYs,40-44 years,42.0,2004-2008,2006.0,1964.0,902503.6353438625,277698221.1149844,324.9943884120776,primary_1994_2023,10-14 to 65-69,6,2,-4,7,324.46443377990823
China,Female,DALYs,40-44 years,42.0,2009-2013,2011.0,1969.0,986391.8724178872,303571794.3771086,324.92869584338035,primary_1994_2023,10-14 to 65-69,6,3,-3,8,324.135300805812
China,Female,DALYs,40-44 years,42.0,2014-2018,2016.0,1974.0,887108.1310758818,272048942.68718094,326.0840208799983,primary_1994_2023,10-14 to 65-69,6,4,-2,9,325.47071907912806
China,Female,DALYs,40-44 years,42.0,2019-2023,2021.0,1979.0,738312.6581749844,226035787.20401463,326.6352940424432,primary_1994_2023,10-14 to 65-69,6,5,-1,10,328.16432465875636
China,Female,DALYs,45-49 years,47.0,1994-1998,1996.0,1949.0,546523.7476425073,168431811.5245526,324.47774722344514,primary_1994_2023,10-14 to 65-69,7,0,-7,4,323.9276763342297
China,Female,DALYs,45-49 years,47.0,1999-2003,2001.0,1954.0,683388.890448796,210082765.89968053,325.29507478739606,primary_1994_2023,10-14 to 65-69,7,1,-6,5,325.89710326972556
China,Female,DALYs,45-49 years,47.0,2004-2008,2006.0,1959.0,651612.6141631166,200075259.34456038,325.6837533525019,primary_1994_2023,10-14 to 65-69,7,2,-5,6,325.2059555476096
China,Female,DALYs,45-49 years,47.0,2009-2013,2011.0,1964.0,901717.4596314623,276439806.71277773,326.1894407878642,primary_1994_2023,10-14 to 65-69,7,3,-4,7,325.2865448352178
China,Female,DALYs,45-49 years,47.0,2014-2018,2016.0,1969.0,983452.4863768371,301079131.01164305,326.6425285181277,primary_1994_2023,10-14 to 65-69,7,4,-3,8,325.93758263258076
China,Female,DALYs,45-49 years,47.0,2019-2023,2021.0,1974.0,877810.2491302434,269308542.12932324,325.9496494948589,primary_1994_2023,10-14 to 65-69,7,5,-2,9,327.9014207216288
China,Female,DALYs,50-54 years,52.0,1994-1998,1996.0,1944.0,397659.2147132344,124351803.36164068,319.78564360402515,primary_1994_2023,10-14 to 65-69,8,0,-8,3,318.5977936795112
China,Female,DALYs,50-54 years,52.0,1999-2003,2001.0,1949.0,528882.4279509573,164574392.68913192,321.3637427482261,primary_1994_2023,10-14 to 65-69,8,1,-7,4,322.49300540683544
China,Female,DALYs,50-54 years,52.0,2004-2008,2006.0,1954.0,671212.7796794814,208188328.74385858,322.4065362978624,primary_1994_2023,10-14 to 65-69,8,2,-6,5,321.946243556758
China,Female,DALYs,50-54 years,52.0,2009-2013,2011.0,1959.0,645335.9752276487,199474996.8079333,323.5172254941894,primary_1994_2023,10-14 to 65-69,8,3,-5,6,322.7047298564511
China,Female,DALYs,50-54 years,52.0,2014-2018,2016.0,1964.0,891741.8916071741,274824207.8675048,324.477198907125,primary_1994_2023,10-14 to 65-69,8,4,-4,7,323.7591473872087
China,Female,DALYs,50-54 years,52.0,2019-2023,2021.0,1969.0,965210.8953454922,298257808.35771906,323.61630384806386,primary_1994_2023,10-14 to 65-69,8,5,-3,8,325.02267082220743
China,Female,DALYs,55-59 years,57.0,1994-1998,1996.0,1939.0,336828.8743593687,107330251.07036625,313.824733474761,primary_1994_2023,10-14 to 65-69,9,0,-9,2,312.1937858873428
China,Female,DALYs,55-59 years,57.0,1999-2003,2001.0,1944.0,370523.4588344868,118337484.4279483,313.10743221019374,primary_1994_2023,10-14 to 65-69,9,1,-8,3,314.92577191037157
China,Female,DALYs,55-59 years,57.0,2004-2008,2006.0,1949.0,505376.17863878823,159498061.496709,316.85411966540795,primary_1994_2023,10-14 to 65-69,9,2,-7,4,316.3125010641625
China,Female,DALYs,55-59 years,57.0,2009-2013,2011.0,1954.0,645772.9595061587,203438117.86534983,317.4296765434973,primary_1994_2023,10-14 to 65-69,9,3,-6,5,317.1928560146335
China,Female,DALYs,55-59 years,57.0,2014-2018,2016.0,1959.0,622803.0385400817,195137911.1357144,319.16045165971616,primary_1994_2023,10-14 to 65-69,9,4,-5,6,318.89996655713526
China,Female,DALYs,55-59 years,57.0,2019-2023,2021.0,1964.0,862659.0358847657,269576872.6146301,320.0048385151971,primary_1994_2023,10-14 to 65-69,9,5,-4,7,320.5490224789589
China,Female,DALYs,60-64 years,62.0,1994-1998,1996.0,1934.0,299038.01161433477,98569219.02247716,303.3786962907192,primary_1994_2023,10-14 to 65-69,10,0,-10,1,301.2922096180899
China,Female,DALYs,60-64 years,62.0,1999-2003,2001.0,1939.0,305136.770400684,101409383.16292754,300.89599293828815,primary_1994_2023,10-14 to 65-69,10,1,-9,2,302.58098560468943
China,Female,DALYs,60-64 years,62.0,2004-2008,2006.0,1944.0,346463.7657564704,114471072.00671199,302.6649088567595,primary_1994_2023,10-14 to 65-69,10,2,-8,3,302.8699593836402
China,Female,DALYs,60-64 years,62.0,2009-2013,2011.0,1949.0,476899.49167938787,155894787.68381175,305.91112041965306,primary_1994_2023,10-14 to 65-69,10,3,-7,4,305.56832360653345
China,Female,DALYs,60-64 years,62.0,2014-2018,2016.0,1954.0,610056.874799133,198615833.3088985,307.1542004661523,primary_1994_2023,10-14 to 65-69,10,4,-6,5,307.34381688838954
China,Female,DALYs,60-64 years,62.0,2019-2023,2021.0,1959.0,588735.1007281181,190258226.47877735,309.4400235007917,primary_1994_2023,10-14 to 65-69,10,5,-5,6,309.5842251559264
China,Female,DALYs,65-69 years,67.0,1994-1998,1996.0,1929.0,216868.5871369675,79422860.68942583,273.05562309699184,primary_1994_2023,10-14 to 65-69,11,0,-11,0,273.05562309699377
China,Female,DALYs,65-69 years,67.0,1999-2003,2001.0,1934.0,241972.377772056,88977305.44212008,271.9484216449548,primary_1994_2023,10-14 to 65-69,11,1,-10,1,274.0354967009424
China,Female,DALYs,65-69 years,67.0,2004-2008,2006.0,1939.0,256092.23339594496,93771871.83554113,273.10133452927585,primary_1994_2023,10-14 to 65-69,11,2,-9,2,273.0808026563517
China,Female,DALYs,65-69 years,67.0,2009-2013,2011.0,1944.0,298305.6447577701,108345083.55283177,275.3291935137129,primary_1994_2023,10-14 to 65-69,11,3,-8,3,274.567870556488
China,Female,DALYs,65-69 years,67.0,2014-2018,2016.0,1949.0,412173.1920234751,148499652.15076858,277.55835522429663,primary_1994_2023,10-14 to 65-69,11,4,-7,4,277.850354622879
China,Female,DALYs,65-69 years,67.0,2019-2023,2021.0,1954.0,535467.0390260267,190711524.93917972,280.773298413294,primary_1994_2023,10-14 to 65-69,11,5,-6,5,279.9950609789751
China,Female,Incidence,10-14 years,12.0,1994-1998,1996.0,1984.0,17279.68202069094,269624940.28498524,6.40878473720823,primary_1994_2023,10-14 to 65-69,0,0,0,11,6.371877127550837
China,Female,Incidence,10-14 years,12.0,1999-2003,2001.0,1989.0,18430.85427410594,287547903.9977516,6.409663926553975,primary_1994_2023,10-14 to 65-69,0,1,1,12,6.344907043037805
China,Female,Incidence,10-14 years,12.0,2004-2008,2006.0,1994.0,13364.746568671248,215213129.33324507,6.210005221371374,primary_1994_2023,10-14 to 65-69,0,2,2,13,6.240150831911037
China,Female,Incidence,10-14 years,12.0,2009-2013,2011.0,1999.0,10405.62811152092,170979253.76550967,6.085900998136166,primary_1994_2023,10-14 to 65-69,0,3,3,14,6.171082352660969
China,Female,Incidence,10-14 years,12.0,2014-2018,2016.0,2004.0,10630.359969160647,173637222.2861553,6.122166566130471,primary_1994_2023,10-14 to 65-69,0,4,4,15,6.1595977532760235
China,Female,Incidence,10-14 years,12.0,2019-2023,2021.0,2009.0,12362.441219163211,201118403.00707868,6.146847346798043,primary_1994_2023,10-14 to 65-69,0,5,5,16,6.146847346798027
China,Female,Incidence,15-19 years,17.0,1994-1998,1996.0,1979.0,65878.38209122003,242527348.09805286,27.16327977353946,primary_1994_2023,10-14 to 65-69,1,0,-1,10,26.95520779661586
China,Female,Incidence,15-19 years,17.0,1999-2003,2001.0,1984.0,73611.92316088431,270089638.8181737,27.25462682796225,primary_1994_2023,10-14 to 65-69,1,1,0,11,27.087159986037516
China,Female,Incidence,15-19 years,17.0,2004-2008,2006.0,1989.0,80706.87325317117,302382382.4618558,26.690335791421965,primary_1994_2023,10-14 to 65-69,1,2,1,12,26.92712501686818
