location_name,sex_name,measure_name,start_year,end_year,supported_age_quantity_start_reconstructed,supported_age_quantity_end_reconstructed,population_source,age_partition,quantity_scope,age_group_count,population_size_change,age_structure_change,age_specific_rate_change,total_change,component_sum,closure_error,population_size_change_pct_of_total,age_structure_change_pct_of_total,age_specific_rate_change_pct_of_total
China,Female,Incidence,1990,2023,115697.33834901855,132520.09333760894,official_GBD_2023,supported_10_79,incidence ages 10-79; sensitivity only; not all-age burden,14,31731.225902804035,-15615.5609809674,707.0900667537209,16822.754988590357,16822.754988590357,0.0,188.6208645630576,-92.82404095856054,4.203176395502926
China,Male,Incidence,1990,2023,152988.79964753237,174591.6149088276,official_GBD_2023,supported_10_79,incidence ages 10-79; sensitivity only; not all-age burden,14,40053.1751857783,-18357.14544141708,-93.2144830659575,21602.81526129527,21602.815261295265,-3.637978807091713e-12,185.4072013361132,-84.97570904245383,-0.4314922936593613
United States of America,Female,Incidence,1990,2023,31876.000537517666,36070.98539056532,official_GBD_2023,supported_10_79,incidence ages 10-79; sensitivity only; not all-age burden,14,9872.070779390351,-3802.9772995260873,-1874.1086268165986,4194.984853047667,4194.984853047665,-1.8189894035458565e-12,235.33030809916437,-90.65532851121537,-44.67497958794903
United States of America,Male,Incidence,1990,2023,35897.17849157025,42426.25272655868,official_GBD_2023,supported_10_79,incidence ages 10-79; sensitivity only; not all-age burden,14,12663.763526376759,-5014.515297155176,-1120.173994233152,6529.074234988431,6529.074234988431,0.0,193.95955798010922,-76.80285315616511,-17.156704823944107
