window,location_name,sex_name,age_lower,period_start,events,population
1990_2019,China,Female,20,2010,123705.19532215144,292782508.424566
1990_2019,China,Female,20,2015,87257.38990465227,208054988.43237755
1990_2019,China,Female,25,1990,100654.29132202709,298682181.84143275
1990_2019,China,Female,25,1995,102366.79928788685,304889902.50322443
1990_2019,China,Female,25,2000,90507.33916830478,265623632.56046122
1990_2019,China,Female,25,2005,80647.82016747314,235019460.63889432
1990_2019,China,Female,25,2010,98380.16757919778,285345339.1773946
1990_2019,China,Female,25,2015,96570.1361202029,280816476.2742032
1990_2019,China,Female,30,1990,58576.31467164077,221065184.52725402
1990_2019,China,Female,30,1995,79026.37926910266,298716963.7855472
1990_2019,China,Female,30,2000,81994.46038527125,304892510.79074335
1990_2019,China,Female,30,2005,72607.29917627719,268996686.9847224
1990_2019,China,Female,30,2010,63860.34548769344,236570316.2267984
1990_2019,China,Female,30,2015,76093.73204421651,280540680.1911037
1990_2019,China,Female,35,1990,51577.70907932364,224453444.5015109
1990_2019,China,Female,35,1995,49701.69988679434,215851019.31152102
1990_2019,China,Female,35,2000,68252.99721666158,295795904.10054374
1990_2019,China,Female,35,2005,70315.71703803855,304161082.2553149
1990_2019,China,Female,35,2010,61831.558656925445,266564280.18735218
1990_2019,China,Female,35,2015,53684.55892767168,230090647.29150218
1990_2019,China,Female,40,1990,39420.86703336447,182100860.99572834
1990_2019,China,Female,40,1995,47090.79691268278,216779649.485558
1990_2019,China,Female,40,2000,45062.10809680897,209020984.66233623
1990_2019,China,Female,40,2005,63119.88931234023,291712768.34614336
1990_2019,China,Female,40,2010,65216.09452369333,300328319.8259119
1990_2019,China,Female,40,2015,56726.111259902915,260898678.308772
1990_2019,China,Female,45,1990,29989.2873955386,134287382.123747
1990_2019,China,Female,45,1995,40057.949308149095,177811637.42206714
1990_2019,China,Female,45,2000,47216.19542167939,211118526.33650923
1990_2019,China,Female,45,2005,46476.77911226629,207022121.63501763
1990_2019,China,Female,45,2010,65185.28143304416,290316584.45165896
1990_2019,China,Female,45,2015,66690.09396693509,297647234.7437862
