table,column,dtype,description,uncertainty_class
apc_primary_direction_agreement,primary_segmented_aapc,float64,Primary segmented aapc,none/not applicable
apc_primary_direction_agreement,primary_observed_annualized_endpoint_change_pct,float64,Primary observed annualized endpoint change pct,none/not applicable
apc_primary_direction_agreement,apc_net_drift,float64,Apc net drift,none/not applicable
apc_primary_direction_agreement,primary_segmented_direction,object,Primary segmented direction,none/not applicable
apc_primary_direction_agreement,primary_observed_direction,object,Primary observed direction,none/not applicable
apc_primary_direction_agreement,apc_net_drift_direction,object,Apc net drift direction,none/not applicable
apc_primary_direction_agreement,apc_vs_segmented_direction_agreement,bool,Apc vs segmented direction agreement,none/not applicable
apc_primary_direction_agreement,apc_vs_observed_direction_agreement,bool,Apc vs observed direction agreement,none/not applicable
apc_primary_direction_agreement,apc_minus_segmented_aapc_pct_points,float64,Apc minus segmented aapc pct points,none/not applicable
apc_primary_direction_agreement,apc_minus_observed_annualized_endpoint_change_pct_points,float64,Apc minus observed annualized endpoint change pct points,none/not applicable
apc_primary_direction_agreement,comparison_note,object,Comparison note,none/not applicable
cross_analysis_consistency,location_name,object,Location name,none/not applicable
cross_analysis_consistency,sex_name,object,Sex name,none/not applicable
cross_analysis_consistency,measure_name,object,Measure name,none/not applicable
cross_analysis_consistency,asr_endpoint_percent_change_1990_2023,float64,Asr endpoint percent change 1990 2023,none/not applicable
cross_analysis_consistency,all_age_count_percent_change_1990_2023,float64,All age count percent change 1990 2023,none/not applicable
cross_analysis_consistency,segmented_aapc_1990_2023,float64,Segmented aapc 1990 2023,none/not applicable
cross_analysis_consistency,segmented_overall_direction,object,Segmented overall direction,none/not applicable
cross_analysis_consistency,segmented_breakpoint_years,object,Segmented breakpoint years,none/not applicable
cross_analysis_consistency,population_size_change,float64,Population size change,none/not applicable
cross_analysis_consistency,age_structure_change,float64,Age structure change,none/not applicable
cross_analysis_consistency,age_specific_rate_change,float64,Age specific rate change,none/not applicable
cross_analysis_consistency,decomposition_total_change,float64,Decomposition total change,none/not applicable
cross_analysis_consistency,decomposition_age_partition,object,Decomposition age partition,none/not applicable
cross_analysis_consistency,apc_net_drift_1994_2023,float64,Apc net drift 1994 2023,none/not applicable
cross_analysis_consistency,apc_net_drift_direction,object,Apc net drift direction,none/not applicable
cross_analysis_consistency,important_local_drifts,object,Important local drifts,none/not applicable
cross_analysis_consistency,local_drifts_include_opposing_directions,bool,Local drifts include opposing directions,none/not applicable
cross_analysis_consistency,period_pattern,object,Period pattern,none/not applicable
cross_analysis_consistency,cohort_pattern,object,Cohort pattern,none/not applicable
cross_analysis_consistency,methods_are_independent_replications,bool,Methods are independent replications,none/not applicable
cross_analysis_consistency,uncertainty_note,object,Uncertainty note,none/not applicable
cross_method_contradictions,location_name,object,Location name,none/not applicable
cross_method_contradictions,sex_name,object,Sex name,none/not applicable
cross_method_contradictions,measure_name,object,Measure name,none/not applicable
cross_method_contradictions,segmented_direction_1990_2023,object,Segmented direction 1990 2023,none/not applicable
cross_method_contradictions,asr_endpoint_direction_1994_2023,object,Asr endpoint direction 1994 2023,none/not applicable
cross_method_contradictions,selected_age_crude_direction_1994_2023,object,Selected age crude direction 1994 2023,none/not applicable
cross_method_contradictions,apc_net_drift_direction_1994_2023,object,Apc net drift direction 1994 2023,none/not applicable
cross_method_contradictions,asr_annualized_endpoint_change_1994_2023,float64,Asr annualized endpoint change 1994 2023,none/not applicable
cross_method_contradictions,selected_age_crude_annualized_change_1994_2023,float64,Selected age crude annualized change 1994 2023,none/not applicable
cross_method_contradictions,apc_net_drift_1994_2023,float64,Apc net drift 1994 2023,none/not applicable
cross_method_contradictions,opposing_local_drifts,bool,Opposing local drifts,none/not applicable
cross_method_contradictions,likely_explanatory_factors,object,Likely explanatory factors,none/not applicable
cross_method_contradictions,implementation_failure_indicated,bool,Implementation failure indicated,none/not applicable
cross_method_contradictions,interpretation,object,Interpretation,none/not applicable
provenance,source_role,object,Source role,none/not applicable
provenance,gbd_release,object,Gbd release,none/not applicable
provenance,file,object,File,none/not applicable
provenance,sha256,object,Sha256,none/not applicable
provenance,retrieval_date,object,Retrieval date,none/not applicable
provenance,export_id,object,Export id,none/not applicable
provenance,metadata_file,object,Metadata file,none/not applicable
provenance,metadata_sha256,object,Metadata sha256,none/not applicable
provenance,dimensions,object,Dimensions,none/not applicable
provenance,status,object,Status,none/not applicable
