year,rate,lower,upper,log_se_from_ui_sensitivity_only
1990,27.27643306768,23.47298420052,32.00159488931,0.07906520165657946
1991,27.24388337197,23.5019188312,31.95701466262,0.07839531575846385
1992,27.216095568,23.48370441672,31.91517654385,0.078258902765397
1993,27.19411101318,23.45446471405,31.87621682622,0.07826512959109289
1994,27.178897515600003,23.42740674542,31.86360027301,0.07845860601260751
1995,27.171315669820004,23.40525288254,31.87373434443,0.07878107564227192
1996,27.17217456416,23.41820265676,31.86153198867,0.07854229006790704
1997,27.17939742712,23.43480059861,31.86418661175,0.07838280095186274
1998,27.18958086769,23.43987117496,31.87114132709,0.07838328341855848
1999,27.19941660916,23.44455681981,31.87409918186,0.07835596753254832
2000,27.2054876666,23.43032741928,31.93645550071,0.07900942249164117
2001,27.21190354983,23.47033691641,31.9044318852,0.07831825657071072
2002,27.22199667068,23.48079902418,31.9056929813,0.07821465123985323
2003,27.23227848833,23.47884243191,31.92416864791,0.07838358857735206
2004,27.239127561030003,23.45107534976,31.93313923197,0.07875713443518718
2005,27.23915552984,23.41595528197,31.93777915018,0.07917652264631043
2006,27.244312252630003,23.44644481911,31.92633677073,0.07875316243048369
2007,27.25940918569,23.42752643261,31.96984410287,0.07930648275892917
2008,27.274444416590004,23.39791269986,32.015481861990004,0.07999305522069625
2009,27.27852350329,23.35905135742,32.052347990120005,0.08071068710956351
2010,27.26061205615,23.30039074849,32.068139436710005,0.08147777183064066
2011,27.19710231118,23.25454531476,31.919015026,0.08079114902775002
2012,27.08974662385,23.1819313632,31.70182485291,0.07984721706172382
2013,26.96562212804,23.09199571984,31.45437502404,0.0788398041039899
2014,26.85189654262,23.00800146512,31.259348287770003,0.07818276312211458
2015,26.77531529694,22.95818079626,31.16659277301,0.07797766377663462
2016,26.7176030771,22.90090759047,31.05844703787,0.0777281314141227
2017,26.650641757280003,22.83715427075,30.95405347689,0.07758040208891794
2018,26.586187645860004,22.76955402982,30.93480644867,0.07817797914179295
2019,26.53609516322,22.70788411741,30.92495124611,0.07878856112831642
2020,26.51220904474,22.66107072897,30.93695378371,0.07941399955945477
2021,26.59290664877,22.7982258031,31.07619513649,0.07902024977560275
2022,26.67596984296,22.9276444076,31.303977874390004,0.07943923883506723
2023,26.42062052512,22.57445926108,30.86374065368,0.07978645592727411
