comparison_type,location_name,sex_name,measure_name,metric_name,numerator,denominator,ratio_1990,ratio_2023,difference_1990,difference_2023,ratio_change_pct
Male vs Female,United States of America,Male vs Female,Incidence,Measure-specific GBD percent,Male,Female,1.2367273273805008,1.2640505119425185,1.0289520180200003e-05,9.415315409900004e-06,2.2093135614533965
Male vs Female,United States of America,Male vs Female,Prevalence,All-age number,Male,Female,0.9716700708602198,1.0427704401091884,-17729.88902322203,32832.397432050784,7.317336550875075
Male vs Female,United States of America,Male vs Female,Prevalence,Age-standardized rate,Male,Female,1.0182058763284807,1.0632906316487893,7.9229796375599335,25.523436726020122,4.4278624164769464
Male vs Female,United States of America,Male vs Female,Prevalence,Measure-specific GBD percent,Male,Female,1.0420872621472719,1.0931051312990678,0.00019588740722360082,0.0004010496628909996,4.895738678032702
Male vs Female,United States of America,Male vs Female,YLDs,All-age number,Male,Female,0.9996161597960971,1.0721670640662917,-148.28067893988919,33593.32832443935,7.257876291735177
Male vs Female,United States of America,Male vs Female,YLDs,Age-standardized rate,Male,Female,1.0434845408524709,1.089962711882157,11.718245448419964,22.298306558570033,4.454131250637983
Male vs Female,United States of America,Male vs Female,YLDs,Measure-specific GBD percent,Male,Female,1.2124060457663381,1.2472859909165626,0.004223877057076299,0.0041997350908381005,2.8769194340479753
Male vs Female,United States of America,Male vs Female,DALYs,All-age number,Male,Female,0.9996161597960973,1.0721670640662913,-148.28067893983098,33593.32832443918,7.25787629173511
Male vs Female,United States of America,Male vs Female,DALYs,Age-standardized rate,Male,Female,1.0434845408524538,1.0899627118821782,11.718245143741342,22.298305978819343,4.454131250641713
Male vs Female,United States of America,Male vs Female,DALYs,Measure-specific GBD percent,Male,Female,0.9179246531866614,0.991122412391691,-0.0007647860190615995,-6.986633109310088e-05,7.974266618825054
