location_name,sex_name,measure_name,start_year,end_year,interval_label,count_start,count_end,population_growth,population_aging,rate_change,total_change,population_growth_pct_of_total,population_aging_pct_of_total,rate_change_pct_of_total,cumulative_population_growth,cumulative_population_aging,cumulative_rate_change,cumulative_total_change
China,Female,DALYs,1990,1995,1990-1995,981432.9910020108,1100100.8767746685,63234.301668838096,50275.86017052383,5157.723933290186,118667.88577265211,53.286785432399526,42.36686264626304,4.346351921337442,63234.301668838096,50275.86017052383,5157.723933290186,118667.88577265211
China,Female,DALYs,1995,2000,1995-2000,1100100.8767746685,1199983.9559180327,68091.00854295648,27211.299653472885,4580.770946941378,99883.07914337073,68.17071432611687,27.243152580843226,4.586133093039918,131325.31021179457,77487.15982399671,9738.494880231563,218550.96491602284
China,Female,DALYs,2000,2005,2000-2005,1199983.9559180327,1308448.906931702,115774.78564952473,-7637.964621868023,328.1299860135963,108464.9510136703,106.73935180677225,-7.0418734812366965,0.3025216744644458,247100.0958613193,69849.1952021287,10066.62486624516,327015.91592969315
China,Female,DALYs,2005,2010,2005-2010,1308448.906931702,1426225.7510279103,86675.61780592955,30161.436181346,939.7901089359463,117776.84409621148,73.59308909238946,25.608969583789516,0.7979413238210348,333775.71366724884,100010.63138347468,11006.414975181106,444792.76002590463
China,Female,DALYs,2010,2015,2010-2015,1426225.7510279103,1509712.2490609565,40278.92415963692,43977.15005643732,-769.5761830310028,83486.49803304323,48.24603391999371,52.67576325818762,-0.9217971781813284,374054.6378268858,143987.781439912,10236.838792150103,528279.2580589479
China,Female,DALYs,2015,2020,2015-2020,1509712.2490609565,1547019.8911503556,16129.635304462166,15922.156999451807,5255.849785481115,37307.642089395085,43.234132207586256,42.67800404351411,14.087863748899641,390184.27313134796,159909.93843936382,15492.68857763122,565586.900148343
China,Female,DALYs,2020,2023,2020-2023,1547019.8911503556,1548871.3277335828,17587.83352212088,-11999.657969352867,-3736.738969531454,1851.4365832365584,949.956033134821,-648.126869588796,-201.82916354602517,407772.1066534688,147910.28047001094,11755.949608099763,567438.3367315795
China,Female,Incidence,1990,1995,1990-1995,112468.84108020327,117567.90411227965,6996.634704244479,-2304.1331892188587,406.56151705190376,5099.0630320775235,137.21412463877354,-45.1873839315942,7.9732592928206545,6996.634704244479,-2304.1331892188587,406.56151705190376,5099.0630320775235
China,Female,Incidence,1995,2000,1995-2000,117567.90411227965,120936.74077156157,7068.113387550833,-4040.633201884198,341.3564736143695,3368.8366592810053,209.8087293154589,-119.94149941204248,10.132770096583537,14064.74809179531,-6344.766391103057,747.9179906662732,8467.899691358529
China,Female,Incidence,2000,2005,2000-2005,120936.74077156157,130432.59832797146,11606.6313248145,-2446.4313622161235,335.6575938067084,9495.857556405084,122.22836385098964,-25.763143009300645,3.534779158311013,25671.379416609812,-8791.19775331918,1083.5755844729817,17963.757247763613
China,Female,Incidence,2005,2010,2005-2010,130432.59832797146,138483.317303633,8525.737906878405,-202.619435740237,-272.3994954712859,8050.718975666881,105.9003293078203,-2.5167868404380993,-3.3835424673821963,34197.117323488215,-8993.817189059417,811.1760890016958,26014.476223430494
China,Female,Incidence,2010,2015,2010-2015,138483.317303633,136893.25973886228,3779.8865485730007,-4616.43449738778,-753.5096159553261,-1590.0575647701044,-237.7201072666516,290.33128105995576,47.38882620669592,37977.00387206122,-13610.251686447198,57.666473046369674,24424.41865866039
China,Female,Incidence,2015,2020,2015-2020,136893.25973886228,132123.269303477,1419.5502261614092,-6910.556372591388,721.0157110514992,-4769.9904353784805,-29.760022486266752,144.8756861509946,-15.11566366472786,39396.55409822263,-20520.808059038587,778.6821840978689,19654.42822328191
China,Female,Incidence,2020,2023,2020-2023,132123.269303477,129940.2080384887,1488.698227585388,-3617.1406557205196,-54.618836865025514,-2183.0612650001567,-68.1931492923668,165.6912114063029,2.501937886063935,40885.25232580802,-24137.948714759106,724.0633472328434,17471.366958281753
China,Female,Prevalence,1990,1995,1990-1995,1539185.4777092482,1718829.6304234315,98980.98881980032,80437.15570034483,226.00819403561763,179644.15271418076,55.09836380663168,44.7758273704142,0.1258088229541228,98980.98881980032,80437.15570034483,226.00819403561763,179644.15271418076
China,Female,Prevalence,1995,2000,1995-2000,1718829.6304234315,1877330.816111812,106459.20859686386,46036.521505567674,6005.455585955138,158501.18568838667,67.16619067201343,29.044906702512293,3.788902625474275,205440.19741666416,126473.6772059125,6231.463779990756,338145.33840256743
China,Female,Prevalence,2000,2005,2000-2005,1877330.816111812,2047614.233328822,181149.1637397848,-7478.743982151462,-3387.0025406299005,170283.4172170034,106.38097749056472,-4.391939100341641,-1.9890383902230595,386589.36115644895,118994.93322376104,2844.4612393608554,508428.75561957085
