location_name,sex_name,measure_name,cohort_label,cohort_midpoint,reference_cohort,cohort_rr,cohort_rr_lower,cohort_rr_upper
China,Female,DALYs,1924,1924.5,1959,0.9162432070981785,0.6550141871317087,1.2816540939818615
China,Female,DALYs,1929,1929.0,1959,0.9193641399494807,0.6589473571901922,1.2826979463567212
China,Female,DALYs,1930,1929.5,1959,0.9213843468041056,0.6599306478611665,1.2864217130801097
China,Female,DALYs,1934,1934.5,1959,0.940636486617054,0.6832306953843782,1.2950193923261863
China,Female,DALYs,1934,1934.5,1959,0.9406364866170556,0.6832306953843793,1.2950193923261888
China,Female,DALYs,1939,1939.0,1959,0.9487022980051132,0.6939035394903327,1.297062198156898
China,Female,DALYs,1940,1939.5,1959,0.9252949715494713,0.663929046552474,1.2895516302841392
China,Female,DALYs,1944,1944.5,1959,0.9568936368262895,0.703804003291546,1.3009949189211174
China,Female,DALYs,1944,1944.5,1959,0.9568936368262912,0.7038040032915472,1.3009949189211198
China,Female,DALYs,1949,1949.0,1959,0.986307531601083,0.7421603590069559,1.3107713650924109
China,Female,DALYs,1950,1949.5,1959,0.9309303544562053,0.6708397837610864,1.2918603604412926
China,Female,DALYs,1954,1954.5,1959,0.9706099396711781,0.7246213649200516,1.3001047175754048
China,Female,DALYs,1954,1954.5,1959,0.9706099396711798,0.7246213649200529,1.300104717575407
China,Female,DALYs,1959,1959.0,1959,0.9086966503894941,0.7429090427026039,1.1114814263468815
China,Female,DALYs,1960,1959.5,1959,0.9253912648671975,0.6675247061734979,1.2828723568921148
China,Female,DALYs,1964,1964.5,1959,0.9633955306474642,0.7216165436615712,1.2861830242445085
China,Female,DALYs,1964,1964.5,1959,0.9633955306474693,0.7216165436615751,1.2861830242445151
China,Female,DALYs,1969,1969.0,1959,0.9855241612343277,0.7625603739629391,1.2736799675665142
China,Female,DALYs,1970,1969.5,1959,0.8845849641074919,0.6410037007361435,1.2207270532547978
China,Female,DALYs,1974,1974.5,1959,0.9035054868625393,0.6756679774468877,1.2081705690349709
China,Female,DALYs,1974,1974.5,1959,0.9035054868625397,0.675667977446888,1.2081705690349713
China,Female,DALYs,1979,1979.0,1959,0.8718641080120739,0.6670396979028393,1.1395828842414895
China,Female,DALYs,1984,1984.0,1959,0.8476192984321719,0.6458232246608983,1.1124692448957492
China,Female,DALYs,1989,1989.0,1959,0.8113118707304892,0.6139726343265094,1.0720786477889865
China,Female,DALYs,1994,1994.0,1959,0.7982123525698557,0.5929899517860748,1.0744582734935737
