location_name,sex_name,measure_name,count_1990,count_1990_lower,count_1990_upper,count_2023,count_2023_lower,count_2023_upper,count_change_pct,asr_1990,asr_1990_lower,asr_1990_upper,asr_2023,asr_2023_lower,asr_2023_upper,asr_change_pct,percent_basis,percent_1990,percent_1990_lower,percent_1990_upper,percent_2023,percent_2023_lower,percent_2023_upper,percent_change_pct,asr_eapc,asr_eapc_lower,asr_eapc_upper
China,Female,DALYs,985172.0335053742,724061.8199204785,1242487.1003107172,1551859.2118643762,1120101.8617092932,1948122.882467781,57.52164688868127,175.27341718732393,131.5414364375916,219.91064101128163,177.61177697861763,129.6486159303557,223.14257796807365,1.3341211855272705,All ages,0.0050071079115952,0.0036406300887316,0.0063030860957238,0.0089187718216249,0.006604551642995,0.0112912838545489,78.12222103245017,0.04060850997045229,0.0349157497173902,0.04630159418561597
United States of America,Female,DALYs,386308.3580932116,272674.0469760214,478016.2035399573,465493.9030577853,334682.063958439,564153.8126365279,20.49801494211192,269.4807146176897,190.0374175951557,335.4177287828488,247.86164747926725,176.80561033016937,305.02831248853687,-8.022491393899301,All ages,0.0093180967093679,0.0069538522002192,0.0115233674175259,0.0078699680786827,0.0059992611884045,0.0096279285929311,-15.541034568028579,-0.28446227702844107,-0.3491389673658474,-0.21974360938917803
China,Female,Incidence,115697.33834904048,97975.38808770616,138931.39420657957,132520.0933376334,111394.64425027698,155088.57310082295,14.54031287897164,18.34535763107,15.44722119973,21.77862017745,18.4221132549,15.40349009442,21.88439895793,0.4183926275713734,Age-standardized,5.27499287604e-05,4.50094022783e-05,6.2665710116e-05,4.68738652028e-05,3.73077903332e-05,5.60568325051e-05,-11.139472025242302,0.0009739287218701875,-0.0067322203376796175,0.008680671668748197
United States of America,Female,Incidence,31876.00053752164,26747.83908744369,38496.19931692621,36070.985390571375,30645.386176275875,42094.20188525653,13.160323699053045,24.55491470791,20.8947144376,29.32199115684,23.03579326505,19.64945729368,27.07250696422,-6.186628872185162,Age-standardized,4.3465705012e-05,3.63550183701e-05,5.26799107532e-05,3.56572511094e-05,2.97641294515e-05,4.29928083896e-05,-17.96463188724132,-0.24932335575903464,-0.2974486662298048,-0.20117481573719287
China,Female,Prevalence,1544461.786892078,1278400.1736376148,1844258.356006604,2469230.2557263006,2074473.28187423,2895939.495493994,59.87642275663778,276.90029239308,233.24618241484004,329.6091622691,278.85919351501,234.44465743948,331.61728314358,0.707439167001378,Age-standardized,0.0028171506608763,0.0023700868046269,0.0033515243349424,0.0029114543633313,0.002448734630616,0.0034547240451743,3.3474852362232577,0.02806431117714503,0.025291524191839443,0.03083717502647687
United States of America,Female,Prevalence,625835.9820013156,518779.0947102598,742574.1695332523,767642.2629328372,646810.7935539956,896626.818810405,22.658697328020306,435.1880400926101,361.33163503976,517.16221686159,403.27353450435,336.95953658544,477.09964003767,-7.333497855655347,Age-standardized,0.0046543157532593,0.0038696336443038,0.0055141375008626,0.0043074925870924,0.0035814933613165,0.0050807204142151,-7.451646698529801,-0.27767961278087894,-0.33369872484767527,-0.22162901423492531
China,Female,YLDs,985172.033505374,724061.8199204786,1242487.1003107172,1551859.2118643788,1120101.8617092932,1948122.882467781,57.52164688868155,175.27342174442998,131.54143985766,219.91064672895,177.61178159652,129.64861930121,223.14258376978,1.3341211855266932,Age-standardized,0.0159889151510687,0.0117323936430043,0.0215276135636989,0.0174104102806551,0.0129998458747693,0.0234592796664322,8.89050392822548,0.04060850997047449,0.0349157497174124,0.04630159418561597
United States of America,Female,YLDs,386308.3580932117,272674.0469760214,478016.20353995735,465493.9030577851,334682.0639584389,564153.812636528,20.49801494211183,269.48072162418003,190.03742253612,335.41773750371004,247.86165392367,176.80561492711,305.02832041927,-8.022491393896502,Age-standardized,0.019885860790059,0.014386219609029,0.0266552083040805,0.0169833118134668,0.012693932799668,0.0223088087688542,-14.596043929077451,-0.28446227702840776,-0.34913896736582517,-0.21974360938915583
China,Male,DALYs,1249020.5640909243,905406.3052012458,1575895.407432924,1867497.0250253356,1364870.6322523328,2322508.4111157884,49.516915791098896,207.24980956684453,151.97094845504552,258.3372852445434,209.1412946881056,154.26520770529277,260.5666300417896,0.9126595219625555,All ages,0.0048472614624707,0.0034059689127305,0.0061016579889343,0.0086256711149087,0.0062054195376097,0.0110152042872329,77.9493675282807,0.023624273118350025,0.017623530989552272,0.0296253752727349
United States of America,Male,DALYs,386160.0774142718,278482.69899175625,478711.7788188408,499087.2313822245,362580.2286313593,610405.881902028,29.243611800606907,281.19895976143107,202.4422217345952,346.5631887911838,270.1599534580866,194.75363846728052,334.9655725847668,-3.925692439513273,All ages,0.0085533106903063,0.0061849707049716,0.0105437368936786,0.0078001017475896,0.0057581532642866,0.009581481280184,-8.80605148098188,-0.12194995523250318,-0.1532581079278117,-0.09063198548751039
