sex_name,measure_name,metric_name,age_name,year,China,United States of America,china_us_pct_difference,china_us_absolute_difference
Female,DALYs,Number,15-19 years,1990,32919.82270857426,7142.075795844097,360.9279381735206,25777.746912730167
Female,DALYs,Number,20-24 years,1990,103620.59549858344,32431.065777008567,219.510299818896,71189.52972157487
Female,DALYs,Number,25-29 years,1990,134008.71402171865,54139.89585816309,147.52303619644502,79868.81816355557
Female,DALYs,Number,30-34 years,1990,125843.48989869446,59930.29551964965,109.98309587416189,65913.19437904481
Female,DALYs,Number,35-39 years,1990,140229.0499978303,53833.69493736294,160.48564966790937,86395.35506046735
Female,DALYs,Number,40-44 years,1990,103220.70333789584,45164.78041910927,128.5424668957829,58055.92291878657
Female,DALYs,Number,45-49 years,1990,78005.1826279952,32583.263558664174,139.40260768400816,45421.91906933102
Female,DALYs,Number,50-54 years,1990,71178.49667790868,24713.304435597514,188.01691357543356,46465.19224231117
Female,DALYs,Number,55-59 years,1990,64362.30339266289,20905.986734888644,207.86541773344197,43456.31665777425
Female,DALYs,Number,60-64 years,1990,51254.11633155384,19275.54618574777,165.90227761976902,31978.570145806072
Female,DALYs,Number,65-69 years,1990,37201.55756467922,15818.94916854439,135.17085217426228,21382.60839613483
Female,DALYs,Number,70+ years,1990,39588.95894391397,19672.55541052963,101.23953455850577,19916.40353338434
Female,DALYs,Number,15-19 years,1991,31460.546507474726,6973.926136388987,351.11671520749155,24486.620371085737
Female,DALYs,Number,20-24 years,1991,102604.17369165109,32517.430756420137,215.535918136439,70086.74293523096
Female,DALYs,Number,25-29 years,1991,144857.86342242206,52593.478340046655,175.4293269706062,92264.3850823754
Female,DALYs,Number,30-34 years,1991,122720.97448484549,60223.84236897744,103.77473382213425,62497.132115868044
Female,DALYs,Number,35-39 years,1991,144975.83324986542,54845.07518368541,164.33701251081686,90130.75806618002
Female,DALYs,Number,40-44 years,1991,110041.17777600992,47454.56564847715,131.88744069674402,62586.61212753277
Female,DALYs,Number,45-49 years,1991,81480.22015772785,33329.19486075078,144.47101257066612,48151.025296977066
Female,DALYs,Number,50-54 years,1991,71165.47107957734,25311.5878248934,181.1576720192466,45853.88325468394
Female,DALYs,Number,55-59 years,1991,66063.83934073862,20838.336107508232,217.03029934782197,45225.50323323038
Female,DALYs,Number,60-64 years,1991,52940.83412558379,19063.47552572056,177.70819677742224,33877.358599863226
Female,DALYs,Number,65-69 years,1991,38477.21094132445,15865.14170288598,142.5267398294033,22612.069238438467
Female,DALYs,Number,70+ years,1991,40993.76618712689,20026.58431765788,104.69674477130772,20967.18186946901
Female,DALYs,Number,15-19 years,1992,29948.72949522137,6962.983219222131,330.11348085034007,22985.74627599924
Female,DALYs,Number,20-24 years,1992,101006.07526990872,32425.998173027005,211.49719657336203,68580.07709688171
Female,DALYs,Number,25-29 years,1992,152768.67040882722,51392.43168111693,197.25908156425857,101376.2387277103
Female,DALYs,Number,30-34 years,1992,124909.94559231275,60116.98626955515,107.77812286237389,64792.959322757604
Female,DALYs,Number,35-39 years,1992,146382.40354264976,56165.57502355958,160.62655546791294,90216.82851909018
Female,DALYs,Number,40-44 years,1992,116565.9954504615,47682.328702762,144.46372193166272,68883.66674769949
Female,DALYs,Number,45-49 years,1992,85850.85499207786,35968.9191051484,138.6806641064441,49881.93588692946
Female,DALYs,Number,50-54 years,1992,71713.6951876396,26213.892865896607,173.57132935008178,45499.802321743
Female,DALYs,Number,55-59 years,1992,67403.76854470708,20928.12893219975,222.07259790434736,46475.63961250734
Female,DALYs,Number,60-64 years,1992,54357.377697374046,18829.452026920982,188.68273818939508,35527.92567045306
Female,DALYs,Number,65-69 years,1992,39408.68195816811,15757.23183078079,150.0990172727272,23651.450127387325
Female,DALYs,Number,70+ years,1992,42409.9399036319,20525.138880926053,106.62437486863156,21884.801022705848
Female,DALYs,Number,15-19 years,1993,28253.963930939517,7026.051740094536,302.1314527148552,21227.91219084498
Female,DALYs,Number,20-24 years,1993,99348.1815894584,32062.5643627503,209.8572542902379,67285.6172267081
Female,DALYs,Number,25-29 years,1993,156651.47209566843,49967.25405680139,213.5082666691898,106684.21803886705
Female,DALYs,Number,30-34 years,1993,133764.26847220314,59785.49009964007,123.74035614539265,73978.77837256307
Female,DALYs,Number,35-39 years,1993,142342.57621087696,57395.05796745343,148.00493500955093,84947.51824342352
Female,DALYs,Number,40-44 years,1993,126017.7544033438,48310.9163699642,160.8473692328705,77706.83803337961
Female,DALYs,Number,45-49 years,1993,88903.28538806281,37781.82169174975,135.30703763676973,51121.46369631306
Female,DALYs,Number,50-54 years,1993,72602.52511556908,27580.9116994297,163.2346816768581,45021.61341613938
Female,DALYs,Number,55-59 years,1993,67908.55571810147,21229.14284063825,219.88364404476263,46679.412877463226
Female,DALYs,Number,60-64 years,1993,55743.822596022204,18501.7326961687,201.28974140657388,37242.089899853505
Female,DALYs,Number,65-69 years,1993,40605.4791598462,15732.905989553252,158.0926828572452,24872.57317029295
Female,DALYs,Number,70+ years,1993,44040.32631423447,20885.15608097906,110.86903130373895,23155.170233255412
Female,DALYs,Number,15-19 years,1994,27068.64515091775,7186.20092740459,276.67531738072364,19882.444223513157
Female,DALYs,Number,20-24 years,1994,97192.24087686348,31476.871756356348,208.77350719337846,65715.36912050712
Female,DALYs,Number,25-29 years,1994,157518.0681372074,49059.5990457117,221.07491948810787,108458.46909149569
Female,DALYs,Number,30-34 years,1994,146188.48609944014,59541.37679613497,145.52419504839148,86647.10930330516
Female,DALYs,Number,35-39 years,1994,136512.7332599336,57984.80143019025,135.42847417402234,78527.93182974335
Female,DALYs,Number,40-44 years,1994,131175.49490740383,49403.21927220055,165.52013581272215,81772.27563520329
Female,DALYs,Number,45-49 years,1994,97571.60289611745,39447.418969735394,147.34597457688102,58124.18392638205
Female,DALYs,Number,50-54 years,1994,74085.61113404504,28778.231969449283,157.43628452468403,45307.37916459576
Female,DALYs,Number,55-59 years,1994,67595.86676520499,21620.316780061403,212.64975186461172,45975.54998514359
Female,DALYs,Number,60-64 years,1994,57467.82445076679,18237.675636250773,215.10498156102088,39230.14881451602
Female,DALYs,Number,65-69 years,1994,41517.48107060664,15538.051149668385,167.198766889712,25979.42992093826
Female,DALYs,Number,70+ years,1994,45581.31504045775,21236.15500059921,114.64015043764562,24345.160039858536
Female,DALYs,Number,15-19 years,1995,26190.9244247424,7391.991656338306,254.31485372801848,18798.932768404095
Female,DALYs,Number,20-24 years,1995,94296.15902853524,30644.25972245356,207.71230854515593,63651.89930608169
Female,DALYs,Number,25-29 years,1995,156818.65709126735,48693.91066102454,222.049831205666,108124.74643024281
Female,DALYs,Number,30-34 years,1995,159391.39784135218,58538.623550297576,172.2841573211913,100852.77429105461
Female,DALYs,Number,35-39 years,1995,129907.12963644735,58707.070734415065,121.28021039260202,71200.0589020323
Female,DALYs,Number,40-44 years,1995,139462.75929803465,50451.76557752556,176.4279063410226,89010.99372050908
Female,DALYs,Number,45-49 years,1995,102233.68735402348,41480.45197408412,146.46232740640426,60753.23537993936
Female,DALYs,Number,50-54 years,1995,75814.86601611786,29764.781343274728,154.7133309724381,46050.08467284313
Female,DALYs,Number,55-59 years,1995,67449.5594132539,22041.79308630147,206.00758817200057,45407.76632695243
Female,DALYs,Number,60-64 years,1995,58925.535719164815,18059.586102749035,226.28397674183213,40865.949616415775
Female,DALYs,Number,65-69 years,1995,42551.79984472968,15295.61984050937,178.1959821728456,27256.18000422031
Female,DALYs,Number,70+ years,1995,47058.401106999416,21460.038244108728,119.28386413718543,25598.362862890688
Female,DALYs,Number,15-19 years,1996,25562.5751166304,7596.849327700123,236.48916825851063,17965.72578893028
Female,DALYs,Number,20-24 years,1996,90548.36424107823,29898.43113240893,202.85322945566446,60649.933108669306
Female,DALYs,Number,25-29 years,1996,154605.61875993642,48975.92053525395,215.67680008923543,105629.69822468248
Female,DALYs,Number,30-34 years,1996,171341.6735094871,57376.912747522256,198.6247696237129,113964.76076196483
Female,DALYs,Number,35-39 years,1996,127090.03736631824,59297.25719407446,114.32700833086469,67792.78017224377
Female,DALYs,Number,40-44 years,1996,143430.27495202297,51519.75719922304,178.3985848329775,91910.51775279993
Female,DALYs,Number,45-49 years,1996,108603.3777740274,43623.82198790782,148.95429337697968,64979.55578611958
Female,DALYs,Number,50-54 years,1996,78935.41543288395,30422.31300587166,159.46552919118614,48513.10242701229
Female,DALYs,Number,55-59 years,1996,67060.60584298741,22574.51042218621,197.06338958775515,44486.0954208012
Female,DALYs,Number,60-64 years,1996,60283.954861529615,18009.002112132974,234.7434493381245,42274.952749396645
Female,DALYs,Number,65-69 years,1996,43424.396949237125,15158.16693211618,186.47525221029343,28266.230017120943
Female,DALYs,Number,70+ years,1996,48353.442922898015,21690.066991235028,122.9289699401928,26663.375931662988
Female,DALYs,Number,15-19 years,1997,25460.74577364909,7796.509396326076,226.56596021864445,17664.236377323014
Female,DALYs,Number,20-24 years,1997,86447.7595561147,29826.429276057912,189.8361005804591,56621.33028005679
Female,DALYs,Number,25-29 years,1997,152617.0501036126,49029.448612178,211.27629296998737,103587.60149143459
Female,DALYs,Number,30-34 years,1997,180801.00534498363,56070.98135232373,222.45022466953975,124730.0239926599
Female,DALYs,Number,35-39 years,1997,130709.32244521852,59325.81057883759,120.32454537055158,71383.51186638093
Female,DALYs,Number,40-44 years,1997,144204.67346865914,52806.23933526426,173.08264190735235,91398.43413339488
Female,DALYs,Number,45-49 years,1997,114891.39235870643,43858.01771456926,161.9621185490572,71033.37464413718
