location_name,sex_name,measure_name,year,val,lower,upper,fitted,residual_log,model_knots
China,Female,DALYs,1990,175.27341718732393,131.5414364375916,219.91064101128163,175.33870511865646,-0.00037242256005143304,1998
China,Female,DALYs,1991,175.50459640531432,131.1372509134992,219.74095862907595,175.53310626728796,-0.0001624319087056847,1998
China,Female,DALYs,1992,175.73938149510028,129.74132056283648,219.509707865756,175.72772295193906,6.63421584441437e-05,1998
China,Female,DALYs,1993,175.9172940260676,130.04536804263623,220.55109104292623,175.92255541157843,-2.990784312562056e-05,1998
China,Female,DALYs,1994,176.2763901629885,130.58098951844286,220.3833375538765,176.11760388543965,0.0009011861210854732,1998
China,Female,DALYs,1995,176.38830673033715,129.51482613470068,221.3325782514063,176.31286861302152,0.0004277735586937226,1998
China,Female,DALYs,1996,176.40358481514488,130.0976753041381,219.98991843537743,176.50834983408856,-0.0005937176487122997,1998
China,Female,DALYs,1997,176.7336058225633,131.17351756137995,222.21956370292077,176.70404778867066,0.00016726024326807476,1998
China,Female,DALYs,1998,176.85099885803174,131.83340951972042,220.85165191408936,176.89996271706426,-0.0002768267208503872,1998
China,Female,DALYs,1999,177.0503373583302,131.37197247787577,220.9829868775499,176.94886179806875,0.0005733095627489249,1998
China,Female,DALYs,2000,177.01472386225464,131.62343769291684,221.77968721297145,176.99777439586592,9.575631642988469e-05,1998
China,Female,DALYs,2001,177.21181117797266,132.2867651801458,220.8749481965032,177.04670051419197,0.0009321479670170163,1998
China,Female,DALYs,2002,177.08126475042494,132.18851317827546,220.7553368395559,177.09564015678458,-8.117641872384951e-05,1998
China,Female,DALYs,2003,177.13470614055805,132.39801755477623,222.12409744091576,177.144593327382,-5.5815774962830744e-05,1998
China,Female,DALYs,2004,177.08667036053336,130.5644168007118,222.7330317912746,177.1935600297237,-0.0006034187813188652,1998
China,Female,DALYs,2005,177.19040261152588,131.39427108757425,223.43198083155625,177.24254026754994,-0.00029420321924167325,1998
China,Female,DALYs,2006,177.08357922683112,131.41398706419554,219.42624684977915,177.29153404460277,-0.0011736424701060955,1998
China,Female,DALYs,2007,177.2685280218044,130.93725099514103,222.3372816340468,177.34054136462422,-0.00040615624374407133,1998
China,Female,DALYs,2008,177.2651619318366,131.5866645408128,222.06889771987295,177.389562231358,-0.0007015290994178969,1998
China,Female,DALYs,2009,177.5171391937506,131.0076070572923,223.8202537567008,177.43859664854878,0.0004425483999987989,1998
China,Female,DALYs,2010,177.5367157696848,131.23344770132925,222.3384013477362,177.48764461994202,0.00027643821399436774,1998
